Episode,disturbance_level,Steps,Returns
1,1.2,106,-186.43729792525193
2,0.1,43,-113.61847820081465
3,0.0,27,-105.04738528650337
4,1.5,99,-171.6814846109982
5,0.1,44,-119.30484680944716
6,0.1,41,-110.30342557436815
7,0.7,73,-142.86415083540146
8,0.6,92,-160.25592049314668
9,1.6,103,-137.71355443543524
10,0.0,46,-118.26434026058263
11,0.4,62,-143.14716346934725
12,1.1,62,-130.4729331351287
13,0.4,74,-149.4113888769243
14,1.3,115,-145.9867223208191
15,0.8,76,-148.6457627056972
16,1.5,85,-146.40644299625177
17,0.7,70,-137.388261176889
18,1.1,92,-166.48683693641232
19,1.5,86,-147.24224853462664
20,0.2,87,-148.04580108064357
21,0.6,67,-138.38028215323018
22,0.0,37,-115.16966190374228
23,0.3,84,-147.45621572017495
24,0.1,75,-133.52908245159585
25,0.4,92,-142.0239528892683
26,0.2,113,-148.79609476776795
27,0.1,77,-149.75479575980256
28,1.1,99,-146.80582655029613
29,0.1,75,-141.68483737100772
30,0.0,16,-101.33123964452162
31,0.0,50,-107.98250699073863
32,0.9,71,-130.39193778815957
33,0.2,81,-139.0535599501854
34,0.0,48,-124.13115069301708
35,1.0,63,-137.94803583687872
36,1.0,85,-170.4119542871747
37,0.2,67,-140.59273123026875
38,1.5,75,-126.15412248156846
39,0.2,102,-169.48878380030337
40,0.3,72,-132.8914850060664
41,0.5,81,-136.87425373316793
42,1.5,82,-151.0019063126593
43,0.8,89,-156.5451481965075
44,1.4,122,-190.2001103195725
45,1.7,69,-144.28761348181524
46,0.0,20,-103.74453499574437
47,0.2,86,-133.25885173942163
48,0.4,86,-133.33231480608595
49,0.1,87,-144.7039465619792
50,0.3,74,-136.49388064497037
51,1.1,102,-155.6703062211928
52,0.2,79,-148.0726108707574
53,0.5,79,-146.78342097898468
54,0.5,83,-171.4339209767968
55,0.1,89,-157.12316491742507
56,1.7,86,-154.50265796542038
57,1.0,93,-133.59330796387556
58,1.7,75,-135.19812694859326
59,0.2,102,-156.45587119587302
60,0.9,80,-132.0235159441532
