Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
12,-291.8442054372197,168.25136011150755,-1617.1521,-103.60667,143.07623318385652,19.0,403.0,-6.2443291015625,-8.511109,-2.1880832,0.19449880981445314,-4.101905,4.34148,-0.19449880719184875,0.8416503667831421,-0.015100181102752686,-0.19173438847064972,0.7071467041969299,0.0015940325101837516,80.0,40226,1.002501130104065,0.0002890365448504983,-102.4534912109375,32.95551300048828,0.4907641100806215,0.2,384000,2801,194
13,-338.2354805424528,216.33857112981624,-1155.4797,-101.77359,150.71698113207546,16.0,408.0,-5.87364453125,-8.128134,3.2757583,0.31414755249023435,-5.2720284,5.5327725,-0.31414759159088135,0.8867834806442261,-0.016056030988693237,-0.2950817942619324,0.7037631273269653,0.001481586485169828,80.0,40226,1.004533052444458,0.0002880398671096345,-107.02204895019531,42.57561492919922,0.4891063197964703,0.8,416000,3023,144
14,-362.7301883971292,263.4352739112017,-1612.5072,-103.68475,151.87081339712918,19.0,451.0,-5.4459580078125,-7.8111033,1.2419685,0.41821612548828124,-3.6876988,5.170682,-0.41821616888046265,0.7820124626159668,-0.014706969261169434,-0.29672372341156006,0.70036780834198,0.0012682032538577914,80.0,40226,1.0065269470214844,0.00028704318936877073,-111.8123550415039,51.628257751464844,0.4874484929448711,0.6,448000,3188,193
15,-414.330213490099,508.2869307393178,-5918.215,-101.9575,156.8910891089109,20.0,559.0,-4.959875,-7.6646366,1.7247062,0.3774313049316406,-7.4864507,5.152451,-0.3774312734603882,0.8895609974861145,-0.015560567378997803,-0.3503153920173645,0.696960985660553,0.0014061477268114686,80.0,40226,1.0058683156967163,0.00028604651162790696,-117.62503814697266,72.01190948486328,0.4857906968798545,1.1,480000,3415,141
16,-534.256408005618,678.6716039937252,-6034.4844,-102.69709,179.58988764044943,17.0,559.0,-4.62867431640625,-7.5741525,3.073573,0.3983206787109375,-4.304416,6.031225,-0.39832067489624023,0.7192681431770325,-0.013725131750106812,-0.2632940411567688,0.6935425400733948,0.0012905698968097568,80.0,40226,1.0065648555755615,0.0002850498338870432,-125.23323059082031,94.66795349121094,0.4841328830034904,1.8,512000,3583,190
17,-519.2227606951872,716.2034186586907,-7165.122,-102.5572,170.19251336898395,18.0,626.0,-4.08282763671875,-7.422229,-0.042233948,0.4475702209472656,-2.9248068,5.9047084,-0.447570264339447,0.5994155406951904,-0.011990100145339966,-0.24960510432720184,0.6901123523712158,0.0012591175036504865,80.0,40226,1.0073262453079224,0.00028405315614617936,-132.09677124023438,111.81893157958984,0.4824750900450982,0.4,544000,3808,142
18,-427.79164174641147,630.7858241755764,-7401.525,-102.71871,153.00478468899522,17.0,639.0,-3.31542138671875,-7.358519,0.68279135,0.4248185729980469,-2.521119,6.091861,-0.42481863498687744,0.4431596100330353,-0.00951734185218811,-0.20192448794841766,0.6866704225540161,0.0011197037529200315,80.0,40226,1.0079020261764526,0.0002830564784053156,-136.56919860839844,121.19136810302734,0.48081727062403695,1.8,576000,3977,188
19,-412.2879517180095,465.89189804450035,-2776.62,-104.17369,151.18957345971563,16.0,485.0,-2.725569580078125,-5.9331436,0.53555506,0.32545458984375,-1.8069501,4.8150816,-0.32545459270477295,0.264915406703949,-0.006467074155807495,-0.11921511590480804,0.6832167506217957,0.0011340576456859708,80.0,40226,1.0061352252960205,0.0002820598006644518,-140.31370544433594,124.73941802978516,0.47915946409130233,0.6,608000,4202,142
20,-429.35989832535887,570.3597118984982,-5222.0513,-102.11529,152.74162679425837,15.0,662.0,-2.4394716796875,-6.5833726,0.583242,0.24176591491699218,-1.3543061,5.4334736,-0.24176591634750366,0.2036672681570053,-0.00518152117729187,-0.07252945750951767,0.6797507405281067,0.0010090034920722246,80.0,40226,1.005043625831604,0.00028106312292358805,-144.0738525390625,129.62637329101562,0.4775016527393509,0.7,640000,4371,189
21,-415.37644675925924,526.7081031519507,-5114.542,-102.28155,147.80555555555554,17.0,659.0,-2.092299560546875,-6.8709545,0.814241,0.1709288330078125,-1.8993486,5.595282,-0.17092883586883545,0.16916945576667786,-0.005189448595046997,-0.046803902834653854,0.676272988319397,0.0010729533387348056,80.0,40226,1.0024224519729614,0.0002800664451827242,-147.35110473632812,133.13052368164062,0.4758438478763265,0.4,672000,4537,192
