Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
1,-150.2511906751337,21.979255001047456,-211.5082,-102.21024,85.49732620320856,13.0,140.0,0.13934637451171875,-0.31181526,0.5923026,-10.701533203125,-26.181562,-0.16619486,10.701533317565918,138.9887237548828,-0.13354110717773438,-62.72823715209961,0.7436313033103943,0.001334891188889742,80.0,40226,0.988578736782074,0.0003,-92.2637710571289,13.823169708251953,0.508999994180536,0.9,32000,218,146
2,-150.08032670454546,22.58018180594679,-225.49622,-102.61052,83.03636363636363,19.0,141.0,-3.65709814453125,-8.355627,7.3648353,-1.2710040283203126,-11.749824,4.6123877,1.2710040807724,5.228498458862305,-0.03322458267211914,-3.4208157062530518,0.7403689026832581,0.002007655333727598,80.0,40226,0.9935431480407715,0.0002990033222591362,-92.80552673339844,13.841877937316895,0.5073421985260703,0.1,64000,880,151
3,-149.20887247721353,21.70832989693271,-214.20224,-103.41313,83.28645833333333,16.0,140.0,-4.19708935546875,-8.523241,5.336263,-0.9855741577148438,-11.203307,1.8054736,0.9855743050575256,2.2434370517730713,-0.0207861065864563,-1.4848512411117554,0.7370959520339966,0.0019222634145990014,80.0,40226,0.9925767779350281,0.0002980066445182724,-92.7981185913086,13.762304306030273,0.5056843768217382,0.2,96000,1095,148
4,-149.9682783792651,22.939228633540345,-296.4014,-103.018814,83.83727034120734,19.0,160.0,-4.865140625,-8.497922,2.3057234,-0.7103617553710937,-6.2731333,1.2005711,0.7103617787361145,1.1367065906524658,-0.014783680438995361,-0.7424859404563904,0.7338122725486755,0.0019138837233185768,80.0,40226,0.9919254779815674,0.0002970099667774086,-92.7924575805664,13.870259284973145,0.5040265646673453,0.3,128000,1313,147
5,-151.50721072635136,24.80781024847466,-237.37494,-102.37718,86.38108108108108,16.0,171.0,-5.3805302734375,-8.48574,-0.0136313215,-0.46820684814453123,-4.5874414,1.6064935,0.46820685267448425,0.5596343874931335,-0.009903639554977417,-0.31307652592658997,0.7305175065994263,0.0017892317846417427,80.0,40226,0.9941466450691223,0.00029601328903654483,-92.77183532714844,14.007752418518066,0.50236876760236,0.8,160000,1528,148
6,-158.00987413194446,30.078476639358655,-286.71887,-102.19769,88.825,15.0,156.0,-5.75688134765625,-8.521338,-2.0709524,-0.35937469482421874,-3.065001,1.2142892,0.35937467217445374,0.3547379672527313,-0.0073569416999816895,-0.17637136578559875,0.7272123694419861,0.0017330112168565392,80.0,40226,0.9947465658187866,0.00029501661129568106,-93.21604919433594,14.354331016540527,0.5007109615988222,0.2,192000,1688,200
7,-162.63502528901734,32.95339040685129,-299.21268,-102.933975,92.32947976878613,18.0,169.0,-6.04598193359375,-8.587182,-2.873035,-0.22756478881835937,-2.426661,1.4476266,0.22756478190422058,0.23940043151378632,-0.005637407302856445,-0.0772855132818222,0.7238959074020386,0.0015316682402044535,80.0,40226,0.9960944652557373,0.00029401993355481724,-93.69385528564453,14.821497917175293,0.4990531530460079,1.1,224000,1841,208
8,-174.7179301697531,41.06996580287574,-424.2915,-103.96632,98.67283950617283,17.0,205.0,-6.23821630859375,-8.618455,-3.3012733,-0.17401885986328125,-3.2206962,1.7089305,0.17401887476444244,0.23754161596298218,-0.005997374653816223,-0.05421999841928482,0.7205685973167419,0.001587017672136426,80.0,40226,0.9959699511528015,0.00029302325581395347,-94.57770538330078,15.795754432678223,0.4973953486081037,0.8,256000,2050,153
9,-201.4575229458042,81.67880124871186,-701.2891,-101.17043,111.58741258741259,19.0,334.0,-6.22936669921875,-8.609833,-1.7357562,-0.17668670654296875,-4.91917,2.07731,0.17668670415878296,0.4745938181877136,-0.010234147310256958,-0.12141452729701996,0.7172299027442932,0.0017038743244484067,80.0,40226,0.997132420539856,0.0002920265780730897,-96.40129852294922,19.558435440063477,0.49573755522300433,1.7,288000,2206,204
10,-255.0419921875,201.52434216210946,-1901.657,-102.336685,128.73387096774192,14.0,527.0,-6.2296279296875,-8.547777,2.8912375,-0.05264440536499024,-7.133013,3.3046646,0.052644409239292145,0.9534133076667786,-0.01699342578649521,-0.3439315855503082,0.7138803005218506,0.001752177719026804,80.0,40226,0.9990503787994385,0.0002910299003322259,-100.2132339477539,31.511032104492188,0.49407972120219784,0.7,320000,2369,196
11,-341.59911894273125,611.9116575552246,-7355.476,-103.979546,140.8942731277533,21.0,701.0,-6.1579453125,-8.369028,2.1463664,0.273952392578125,-14.000509,4.9706106,-0.2739523649215698,2.61141037940979,-0.02327623963356018,-1.3130428791046143,0.7105190753936768,0.001464551198296249,80.0,40226,1.0037524700164795,0.0002900332225913621,-107.48353576660156,73.35828399658203,0.4924219133214656,0.9,352000,2530,198
