Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,DistbLevel,TotalEnvSteps,Time,FPS
15,-100.33666,0.103323534,-100.97394,-100.03604,1.0423453,1.0,3.0,-10.020965,-10.414526,-7.0977063,0.00058240467,-9.9873295,0.414526,-0.0005824052,0.101938434,-0.002326148,-0.0008956989,0.13206708,0.0011171047,80.0,42,0.9989505,0.00015999999999999999,-100.30113983154297,0.613968014717102,0.2761333346783128,0,480000,63,9032
16,-100.336395,0.102144785,-100.97936,-100.04695,1.0419394,1.0,3.0,-10.021185,-10.432462,-7.6736407,0.00087178755,-9.839301,0.43246174,-0.0008717876,0.09759836,-0.0022529692,-0.0017290149,0.06993997,0.000992998,80.0,42,0.99950147,0.00015,-100.30125427246094,0.6131820678710938,0.2595000077268337,0,512000,66,8983
17,-100.33641,0.10085809,-100.99874,-100.044914,1.0403459,1.0,3.0,-10.020967,-10.455978,-8.015493,0.00042899227,-10.085615,0.4559784,-0.00042899174,0.1023647,-0.0022380913,-0.0048498567,0.003695846,0.0011782742,80.0,42,0.9986874,0.00014,-100.30162811279297,0.6004816889762878,0.24286666936472848,0,544000,70,9008
18,-100.33537,0.1013409,-101.36013,-100.04051,1.0402132,1.0,3.0,-10.020892,-10.495727,-8.299841,0.00078521774,-10.078608,0.4957266,-0.0007852176,0.09310874,-0.001995915,0.0022113638,-0.06724989,0.0010625483,80.0,42,0.9994053,0.00013,-100.30155181884766,0.6121029257774353,0.22623332252568937,0,576000,74,9063
19,-100.336945,0.10307652,-101.186386,-100.04966,1.0440145,1.0,3.0,-10.020491,-10.449887,-8.5487795,-0.0006833366,-10.020853,0.44988728,0.0006833361,0.09486271,-0.0021190138,-0.0013744421,-0.14361584,0.0011514842,80.0,42,0.99955237,0.00011999999999999999,-100.30138397216797,0.6225601434707642,0.20959999310399555,0,608000,77,9099
20,-100.33541,0.100081824,-100.985115,-100.0512,1.0402119,1.0,3.0,-10.021507,-10.430653,-8.569494,0.0017997596,-9.968501,0.43065262,-0.0017997586,0.0936695,-0.002198772,-0.004449705,-0.2262993,0.0011196436,80.0,42,0.99987376,0.00011,-100.30146789550781,0.6215697526931763,0.19296666919571104,0,640000,81,9018
21,-100.33563,0.10243155,-101.0295,-100.04793,1.0434031,1.0,3.0,-10.019586,-10.479765,-9.033832,-0.0005657208,-10.176646,0.47976494,0.0005657215,0.084179476,-0.0021692228,0.0077210297,-0.31644058,0.0011061137,80.0,42,0.99945164,0.0001,-100.30111694335938,0.6397327780723572,0.17633333967182221,0,672000,84,9051
22,-100.33642,0.101834215,-101.28775,-100.046425,1.0423453,1.0,3.0,-10.019502,-10.397321,-9.264886,-0.0011341168,-9.959548,0.39732075,0.0011341167,0.092746764,-0.0021822853,0.0012972122,-0.41551974,0.0011539626,80.0,42,1.0003219,9e-05,-100.3012924194336,0.6290517449378967,0.1596999986960824,0,704000,88,9064
23,-100.33659,0.10074886,-101.19626,-100.04386,1.043535,1.0,4.0,-10.019798,-10.352385,-9.069208,-0.001740114,-10.011588,0.35238457,0.0017401127,0.101539455,-0.0024896814,-0.0025365879,-0.525506,0.001174743,80.0,42,0.99911,8e-05,-100.30142211914062,0.6195013523101807,0.14306666948950403,0,736000,91,9017
24,-100.33592,0.10062651,-101.06707,-100.05744,1.0427543,1.0,4.0,-10.022537,-10.362509,-9.334625,0.0019545248,-10.300673,0.36250877,-0.0019545257,0.09064258,-0.0022694473,-0.004284353,-0.6491016,0.0011763289,80.0,42,1.0006628,6.999999999999998e-05,-100.3013687133789,0.6188968420028687,0.12643333161798834,0,768000,95,9049
25,-100.336075,0.099962875,-101.39982,-100.04325,1.0432628,1.0,3.0,-10.021277,-10.323672,-9.448307,-0.00034820693,-10.226933,0.3236723,0.00034820448,0.097797275,-0.0024330416,0.00867505,-0.7901563,0.0012929447,80.0,42,0.9993265,5.999999999999998e-05,-100.30145263671875,0.610317051410675,0.1097999985840832,0,800000,99,9053
26,-100.334816,0.10098788,-101.20737,-100.0459,1.0443553,1.0,4.0,-10.020912,-10.317514,-9.259058,-0.00048235036,-9.995812,0.31751442,0.0004823488,0.08928375,-0.0024105292,-0.0010709752,-0.9544267,0.0012797217,80.0,42,0.9994166,4.999999999999998e-05,-100.30118560791016,0.6180777549743652,0.09316667703164452,0,832000,102,9051
27,-100.33501,0.10003361,-101.259,-100.044365,1.0437065,1.0,4.0,-10.021223,-10.254228,-9.475442,-5.559772e-06,-9.877927,0.25422764,5.5612763e-06,0.09057672,-0.0025151786,-0.0009960065,-1.1510905,0.0013611547,80.0,42,0.99983513,3.999999999999999e-05,-100.30106353759766,0.6177085638046265,0.07653332437092748,0,864000,106,8997
28,-100.33435,0.09919522,-101.38123,-100.03351,1.042177,1.0,4.0,-10.02073,-10.290881,-9.499632,-0.0004680941,-9.975246,0.29088116,0.00046809352,0.095424175,-0.0026274046,0.0024175881,-1.3961405,0.0014015513,80.0,42,0.99844664,2.999999999999999e-05,-100.30098724365234,0.6174551248550415,0.05990000230669938,0,896000,109,9076
29,-100.33578,0.10020042,-101.13404,-100.04941,1.0443212,1.0,3.0,-10.01983,-10.2586155,-9.516157,-0.0014545686,-9.854967,0.2586155,0.0014545686,0.08754815,-0.0025419127,0.0067136516,-1.7214339,0.0015732136,80.0,42,0.9990246,1.9999999999999995e-05,-100.30076599121094,0.6241501569747925,0.043266667109585225,0,928000,113,9049
30,-100.33531,0.09920721,-101.22658,-100.04499,1.0441493,1.0,4.0,-10.021656,-10.254083,-9.518165,0.00036266175,-9.914437,0.25408268,-0.0003626642,0.09190021,-0.00276889,-0.0011819752,-2.2066536,0.001481628,80.0,42,0.99892706,9.999999999999997e-06,-100.3006362915039,0.6237217783927917,0.026633332267059537,0,960000,116,9073
