Episode,disturbance_level,Steps,Returns
216,0.3,77,-129.14823882603585
217,0.5,158,-180.02157475693315
218,0.4,79,-147.25309636075437
219,1.2,93,-157.00149174341124
220,0.4,70,-136.75138641730308
221,0.1,62,-128.0059959696702
222,0.2,77,-143.37636764150284
223,0.7,78,-141.9847972403153
224,0.0,24,-104.35294781193274
225,0.7,104,-158.39583580893628
226,0.2,62,-144.74744254956465
227,0.2,69,-138.84542818738885
228,1.4,55,-135.10537869407622
229,1.2,78,-137.82054054228237
230,0.1,95,-147.38827920391708
231,0.0,41,-112.50737079965474
232,0.4,84,-144.13018916010236
233,1.2,55,-132.00629126999374
234,1.2,81,-134.65274112582927
235,0.8,65,-141.18075875107422
236,0.5,95,-142.46869829798737
237,0.2,81,-138.94639162914416
238,0.9,104,-157.79620904389796
239,0.8,75,-154.17360193220117
240,0.5,94,-150.135866609853
241,1.7,81,-143.55961793621438
242,0.0,31,-105.37867973080878
243,0.2,90,-130.25031557035365
244,0.0,23,-105.4413448485131
245,0.0,24,-107.21998872739465
246,0.3,112,-197.5000219092383
247,0.1,57,-132.85576331194352
248,0.8,101,-175.5975480851236
249,0.2,80,-165.33750628906466
250,0.0,17,-104.52994099916172
251,0.8,74,-134.22062513418538
252,0.3,68,-140.6998693505355
253,1.2,62,-128.5699315599589
254,0.0,19,-103.89738230252408
255,0.3,61,-137.99159216214298
256,0.6,81,-143.3832655246489
257,0.4,81,-137.07323382456966
258,0.4,103,-194.79684960125263
259,1.1,76,-145.1673137944681
260,1.7,64,-129.62438310357555
261,0.3,67,-136.17007805414886
262,0.4,74,-143.60684875140007
263,0.0,63,-137.86120836335948
264,1.3,80,-134.18622366314497
265,0.1,78,-129.35458367426895
266,0.1,33,-109.36046689170173
267,1.6,74,-133.35080362503905
268,1.0,99,-162.1429125421347
269,0.5,69,-140.72106002782786
270,0.0,26,-109.13035147552702
271,0.0,35,-109.13772356925155
272,0.4,86,-161.09291454748228
273,1.6,91,-144.95275608916012
274,0.5,63,-128.74808569951173
275,0.6,91,-146.44775750054797
276,0.5,150,-276.16543418246715
277,0.7,119,-234.38120090613324
278,1.0,84,-145.42895593663428
279,0.1,75,-138.4035497038246
280,1.2,61,-138.10990649588226
281,1.1,75,-138.85098335777798
282,0.0,27,-108.65417572620755
283,0.4,65,-130.57733059529045
284,0.2,65,-137.36256540229243
285,0.5,76,-145.44677090136713
286,0.6,63,-138.34185565189418
287,0.1,32,-107.33582340916874
288,1.3,88,-158.96315105905802
289,1.2,66,-127.38101015257094
290,0.2,89,-139.88722161674394
291,1.8,56,-134.85600843129833
292,1.9,86,-126.07905975370396
293,1.2,113,-193.7077427554355
294,0.3,138,-186.5621300241092
295,0.4,79,-151.1711605893182
296,0.0,27,-104.90940481010735
297,1.3,75,-129.67291366049912
298,0.8,95,-145.71860986086847
299,1.9,68,-141.35853247591248
300,0.0,28,-106.48636952118719
301,0.2,92,-167.6183688257327
302,0.3,70,-137.0116441305481
303,0.3,65,-136.11415622453745
304,0.1,24,-109.36594303794456
305,0.8,94,-155.81789590823078
306,0.3,76,-140.11486132613442
307,0.0,18,-104.94326559671963
308,0.3,76,-126.82012437013962
309,1.6,103,-161.3157395477322
310,0.1,83,-144.26443851811516
311,0.9,68,-140.42619211610588
