Episode,disturbance_level,Steps,Returns
42,0.2,64,-130.82685696025533
16149,0.7,192,-324.50311918098276
43,1.3,74,-142.2274833501843
16150,0.1,19,-105.61896015303903
16151,0.0,21,-104.28550863485944
44,1.0,69,-137.28071202844052
45,0.0,17,-103.25046664614383
16152,0.3,131,-266.52767279893334
46,1.2,70,-138.37177323277143
16153,0.6,85,-154.47162037853573
47,0.2,88,-152.96677337615972
16154,0.4,84,-146.71847795101888
16155,0.0,17,-103.27527321271923
16156,0.6,73,-143.28166793616788
16157,0.0,18,-104.29617375266604
48,0.5,90,-160.22740883086067
16158,0.6,85,-124.61374253930927
49,0.2,75,-129.13327457241633
16159,1.8,67,-134.37531298923213
50,0.0,50,-115.6376360567764
16160,0.3,59,-126.47560661052914
51,0.5,94,-156.48847252186545
16161,1.3,135,-201.47569003366254
16162,0.1,21,-105.53675371300054
52,0.1,50,-118.51126721384898
16163,1.4,118,-189.0204381531677
53,1.7,67,-131.50882634819448
16164,0.3,39,-105.54451235859138
54,0.8,106,-136.43147638494622
16165,0.4,202,-399.46700138840293
55,1.7,84,-139.7148505602226
16166,0.2,28,-108.18582354660022
16167,0.1,73,-141.73449009264567
56,0.2,75,-148.475680219318
57,1.0,79,-144.70683572519994
58,0.0,30,-109.14228665532839
16168,1.2,201,-580.3627585759607
16169,0.1,51,-123.79973769478777
59,0.3,87,-170.79029885252635
60,0.6,69,-136.69913862758068
16170,0.5,144,-341.05711930226795
16171,0.4,47,-108.98906233715337
61,0.2,92,-135.72685751175453
16172,0.4,109,-229.65140356538228
62,0.8,69,-145.96746574057556
63,0.0,21,-104.66046885105995
16173,0.6,119,-244.4836604220892
64,0.7,80,-136.71018610744738
16174,0.6,145,-288.8334661907727
65,0.3,84,-146.67955435588337
16175,1.7,73,-140.08597920391443
16176,0.1,63,-119.13627280553429
16177,0.0,18,-104.4630485183711
66,0.4,100,-133.0854068204625
16178,0.6,107,-180.6150530827076
16179,0.0,19,-102.99665023294645
16180,0.0,16,-104.51220303042857
67,0.4,96,-160.2386284028461
16181,1.7,74,-128.19846570129923
68,0.5,72,-140.21553683249348
16182,1.7,56,-133.19238307161095
69,0.0,31,-113.35671075756254
16183,0.8,65,-134.73878705616423
70,1.6,67,-145.7083026611501
16184,0.3,147,-162.804609483339
16185,0.0,18,-106.29713335433834
16186,0.1,25,-106.33394153657133
71,0.9,86,-140.31248853445425
16187,0.5,69,-149.05053559880838
72,0.1,71,-138.18773232392894
73,0.1,25,-104.13646700356934
16188,0.5,127,-244.8230344017362
74,0.9,80,-136.06280542009497
16189,1.3,67,-139.65951724075398
16190,0.0,19,-105.32452001844621
16191,0.5,61,-140.19171407809785
75,1.1,66,-137.7795412168618
16192,1.5,42,-113.7010161349958
76,0.2,79,-147.01229293718052
77,0.5,83,-149.2351174944312
16193,0.4,255,-611.2665477583301
16194,0.0,26,-109.19821770214068
16195,0.3,24,-106.12441099125597
16196,0.0,18,-104.54458564686392
78,0.7,77,-155.2933116760827
16197,0.1,32,-108.0607402136343
79,1.1,70,-141.15127782250684
16198,0.7,64,-134.20289821849644
16199,0.8,2,-0.5671771742904648
80,0.7,70,-137.14087121186114
81,0.5,88,-157.29943169600193
16200,1.8,107,-139.75452948788237
82,0.1,61,-143.2067923791562
83,0.0,24,-108.76410369983346
84,0.6,75,-134.23950244513273
16201,0.9,153,-370.4221052774499
85,0.4,72,-135.8527699737595
86,0.6,101,-191.3127560491944
87,0.0,29,-106.37875933010648
16202,1.2,153,-248.08159837704537
88,0.3,82,-142.91891194094453
89,1.6,75,-132.48381205779768
16203,0.6,147,-195.6772918599138
90,0.7,68,-132.94293591690146
16204,0.4,81,-161.7592929437393
91,1.6,63,-134.99671618630856
92,0.3,61,-128.06241625035332
16205,0.7,98,-134.13309220816282
93,0.8,68,-143.26239617930608
16206,0.4,108,-183.48403401575825
94,1.6,69,-131.7091994595174
95,0.2,78,-138.8738214482589
16207,0.7,105,-146.9791976842684
16208,0.0,19,-105.87077463856366
96,0.9,90,-150.99084060345876
97,0.5,78,-144.4576842289664
16209,0.4,145,-168.35679548133726
98,0.8,85,-145.17082149496227
16210,1.6,106,-172.38926419782595
99,0.0,53,-119.46964182610107
16211,0.4,48,-121.55276186266882
100,0.5,92,-146.22376819504507
16212,0.3,64,-137.66659360671025
16213,0.2,44,-110.44708288064595
16214,0.2,34,-110.95238971156891
101,0.4,98,-145.76204880651864
102,0.2,81,-151.20812741071137
16215,0.7,103,-177.52232872456852
16216,0.2,22,-103.44889185778574
103,0.2,92,-152.88483948741248
16217,0.9,61,-117.97634976115167
104,0.5,76,-130.5853670271431
16218,0.3,92,-187.7098014266466
105,0.2,73,-152.71809553056156
106,0.9,62,-129.50710129979367
16219,1.0,157,-184.98411944739343
16220,0.1,26,-110.62864692378994
107,1.7,73,-132.2060371738675
16221,1.3,71,-164.16006555981204
108,1.0,91,-159.0634992162208
109,0.9,93,-145.5281224803278
16222,0.3,180,-385.66779778591507
110,1.2,70,-130.96844184269366
111,0.2,80,-143.91156101571718
16223,0.9,109,-231.14726039460515
112,0.4,77,-152.49642581124473
16224,0.1,42,-110.6514937349187
16225,0.3,42,-113.0944593693844
113,0.9,69,-144.91264956651077
114,0.0,46,-121.41030631704021
16226,0.3,74,-146.03474883242308
115,0.4,76,-137.59074745071908
116,0.1,30,-108.05324673936558
16227,1.1,113,-202.18732312998878
117,0.2,71,-134.87855151382388
118,0.0,42,-116.49603152876192
16228,0.5,100,-180.40856515322162
16229,1.0,56,-124.06086013595191
119,0.6,82,-134.27961767610805
16230,0.2,40,-114.15269280444754
120,1.9,74,-133.0983716538131
16231,1.8,89,-173.2412217843492
16232,0.0,23,-104.96610207426207
121,0.4,98,-141.49098163954557
16233,0.8,108,-151.0970086711854
122,0.6,91,-138.7978306475478
123,0.0,23,-107.15924844518727
16234,0.4,55,-127.91349311126278
16235,0.0,21,-105.84572401246965
124,0.6,83,-147.63949606522613
125,0.4,81,-142.31196499307654
16236,0.7,169,-414.2606291718465
126,0.8,79,-139.49390523922892
16237,0.1,24,-104.47612224365577
16238,0.2,19,-103.48307787388211
127,0.5,92,-152.44714810226517
16239,0.4,89,-164.5083683639564
128,1.2,104,-131.20739232887405
129,0.2,67,-128.01788794730783
16240,0.9,155,-246.55569895434996
130,1.3,63,-130.48233128504262
131,0.7,67,-137.00601507677894
16241,0.9,125,-207.92286874101515
16242,0.0,17,-104.450560916052
132,1.4,69,-143.67200248422148
16243,0.3,108,-150.018957692335
133,0.8,98,-154.22190174501105
16244,1.0,88,-178.13366861593965
134,0.7,89,-139.24497440742164
16245,0.4,62,-136.2113902732717
135,0.1,49,-115.99859469037845
136,0.4,92,-142.25242567469678
16246,1.2,105,-137.22347661744197
16247,0.0,25,-104.12112519106178
137,1.0,81,-146.95299032634955
16248,0.8,101,-177.86900892892024
138,1.3,78,-143.98007603476566
139,1.2,76,-139.61452261979204
16249,0.5,96,-165.17342389890754
16250,0.6,63,-133.7080384920683
140,1.5,95,-171.9187995233441
141,1.6,71,-148.9128970360366
16251,0.6,93,-180.12028152294855
142,0.6,89,-132.73378849244034
16252,0.9,97,-172.10217070162844
143,0.0,34,-109.18109456187302
16253,1.1,97,-131.6816855077847
144,0.9,92,-159.46363306809533
16254,0.4,53,-116.07036641241687
16255,0.4,24,-107.72402444162455
145,0.7,106,-143.05229261714152
146,0.0,24,-102.28501100879035
16256,1.9,73,-136.8138683568605
16257,0.1,21,-106.23645351648572
147,0.6,86,-137.5106529848624
16258,0.8,133,-160.922929945442
148,1.7,82,-135.67590822482856
16259,0.2,35,-109.40109225134172
149,1.0,76,-143.01906650639512
16260,1.5,107,-177.63988944519303
16261,0.1,26,-106.05797269130424
150,0.7,94,-173.5376590435029
16262,1.0,71,-148.80242517778927
151,0.4,73,-149.01837678250337
152,1.3,66,-138.2739937477521
16263,1.3,154,-226.8032380283566
153,0.2,70,-146.25324431269735
154,1.2,61,-128.05231081109744
155,0.0,17,-104.01203468555536
16264,0.5,86,-155.13505890935184
156,0.1,35,-110.84475940639194
157,0.0,48,-123.67661761387693
158,1.1,79,-129.22403997079067
16265,0.6,134,-273.6169129236443
16266,0.3,53,-114.06491657511393
159,0.2,96,-141.55510943879182
16267,0.5,70,-135.930047958714
160,0.9,69,-129.67062622626798
161,1.6,72,-143.88227926935912
16268,1.0,156,-377.0622427019998
16269,0.2,19,-105.71662499457811
162,0.5,86,-139.84454762111824
163,1.7,75,-137.05645004671453
164,0.8,85,-138.45262848440154
165,0.3,74,-138.1903495774279
166,0.0,38,-105.4302001710246
167,0.1,39,-112.24520137603547
168,1.8,67,-132.4426432534922
169,0.0,17,-103.2016470244154
170,1.5,80,-139.9509652978005
16270,0.9,465,-3218.264002229321
171,0.8,64,-134.98528064245247
16271,0.1,70,-123.64492938446932
16272,0.0,21,-105.94186218935478
172,1.6,73,-133.6602793703967
16273,0.7,70,-157.41586977512264
173,0.5,82,-140.20256496989958
16274,0.8,69,-160.69349544580547
174,1.0,76,-141.30463785286614
175,0.1,55,-116.56077116282671
16275,0.7,136,-188.7663682985184
176,1.4,82,-133.43857472714748
177,0.1,64,-128.9028795651133
178,1.8,80,-144.65051105770385
16276,0.7,165,-338.06248443580733
179,0.3,69,-147.1389396453611
16277,0.3,34,-107.17453928768731
16278,0.0,15,-103.48484378449437
180,0.4,84,-142.67889087754702
181,1.3,77,-137.93653573923552
16279,1.3,166,-277.0061819401245
182,0.3,91,-146.669733619979
16280,0.3,85,-161.37487119287965
